,precision,recall,f1
airplane,0.7529313232830821,0.7969858156028369,0.7743324720068907
automobile,0.8162117107730777,0.8727718360071302,0.8435447399590826
bird,0.6690973095297963,0.5955684870188004,0.6301953818827708
cat,0.6014251781472684,0.5590638109958048,0.5794713353930656
deer,0.7197802197802198,0.6652682711415323,0.691451520367183
dog,0.6656723267553923,0.6466785555060187,0.6560379918588873
frog,0.7494465687261018,0.8288448697974627,0.78714859437751
horse,0.7696174863387978,0.7824444444444445,0.775977961432507
ship,0.8295204575450946,0.8387455516014235,0.8341074983410749
truck,0.8036490008688097,0.8224049788841965,0.8129188179720972
